Product	LJ-328	GI-884	WX-534	LZ-643	SF-279	YU-769	EP-196	UY-839	XD-943	CC-875	UW-698	KR-732	JX-223	KE-738	GL-882	CP-194	SB-855	RW-390	DG-101	NM-502	RW-225	PF-220
Serial no.	388924	325662	903579	875320	325386	262474	573097	108709	244971	681666	860882	388924	325662	903579	875320	325386	262474	573097	108709	244971	681666	860882
Manager	GW	UO	UL	BM	SY	IM	PW	TH	VC	KV	TL	GW	UO	UL	BM	SY	IM	PW	TH	VC	KV	TL
Y1Q1	368	188	898	403	117	870	706	651	470	521	461	368	188	898	403	117	870	706	651	470	521	461
Y1Q2	854	678	539	838	366	541	931	738	162	225	627	854	678	539	838	366	541	931	738	162	225	627
Y1Q3	297	678	410	858	197	493	109	589	875	848	208	297	678	410	858	197	493	109	589	875	848	208
Y1Q4	422	436	930	708	261	544	212	110	121	960	757	422	436	930	708	261	544	212	110	121	960	757
Y2Q1	368	188	898	403	117	870	706	651	470	521	461	368	188	898	403	117	870	706	651	470	521	461
Y2Q2	854	678	539	838	366	541	931	738	162	225	627	854	678	539	838	366	541	931	738	162	225	627
Y2Q3	297	678	410	858	197	493	109	589	875	848	208	297	678	410	858	197	493	109	589	875	848	208
Y2Q4	422	436	930	708	261	544	212	110	121	960	757	422	436	930	708	261	544	212	110	121	960	757
