Item;B5830;B8849;B7913;B8960;B5306;B6224;B8346;M113;M281;M521
Loans: Jan;9;21;14;21;29;28;17;13;10;19
Loans: Feb;15;7;26;18;24;21;2;8;21;22
Loans: Mar;5;14;9;12;21;23;21;15;18;1
Loans: Apr;19;17;8;11;8;21;22;13;6;13
Loans: May;4;12;28;4;13;20;28;24;14;25
Loans: Jun;21;3;12;28;26;21;2;10;9;5
Loans: Jul;9;19;14;25;8;21;9;27;19;5
Loans: Aug;18;11;8;21;19;15;6;7;3;20
Loans: Sep;13;10;9;15;4;1;0;34;2;12
Loans: Oct;20;1;0;5;14;11;10;3;22;18
Loans: Nov;11;5;17;7;9;0;2;7;6;16
Loans: Dec;6;15;8;20;17;4;16;9;14;10
