Academy,Course Code,Course Item,Activity Name,Activity Type,Trainee Masked,Result,Percentage,Attempt,Date
New York,N-20-APP-12,Finance,New York Finance,Standard,Trainee 73,100,1,1,04/01/2021 00:00
New York,N-20-APP-12,Finance,New York Finance,Standard,Trainee 1776,94,0.94,1,04/01/2021 00:00
Arlington,AR-20-JAV-07,Java 2- Servlets & JSP,Java Marking Scheme,Standard,Trainee 1306,94,0.94,1,04/01/2021 00:00
New York,N-20-APP-12,Finance,New York Finance,Standard,Trainee 2504,94,0.94,1,04/01/2021 00:00
New York,N-20-APP-12,Finance,New York Finance,Standard,Trainee 2738,92,0.92,1,04/01/2021 00:00
New York,N-20-APP-12,Finance,New York Finance,Standard,Trainee 2506,92,0.92,1,04/01/2021 00:00
New York,N-20-APP-12,Finance,New York Finance,Standard,Trainee 2982,89,0.89,1,04/01/2021 00:00
Arlington,AR-20-JAV-07,Java 2- Servlets & JSP,Java Marking Scheme,Standard,Trainee 2842,87,0.87,1,04/01/2021 00:00
Arlington,AR-20-JAV-07,Java 2- Servlets & JSP,Java Marking Scheme,Standard,Trainee 1722,86,0.86,1,04/01/2021 00:00
New York,N-20-APP-12,Finance,New York Finance,Standard,Trainee 3091,86,0.86,1,04/01/2021 00:00
New York,N-20-APP-12,Finance,New York Finance,Standard,Trainee 636,83,0.83,1,04/01/2021 00:00
New York,N-20-APP-12,Finance,New York Finance,Standard,Trainee 2116,81,0.81,1,04/01/2021 00:00
New York,N-20-APP-12,Finance,New York Finance,Standard,Trainee 499,81,0.81,1,04/01/2021 00:00
Arlington,AR-20-JAV-07,Java 2- Servlets & JSP,Java Marking Scheme,Standard,Trainee 2218,79,0.79,2,04/01/2021 00:00
Arlington,AR-20-JAV-07,Java 2- Servlets & JSP,Java Marking Scheme,Standard,Trainee 2218,74,0.74,1,04/01/2021 00:00
New York,N-20-APP-11,OS Admin,OS Admin Jan 2012,Standard,Trainee 69,60,1,1,05/01/2021 00:00
New York,N-20-APP-11,OS Admin,OS Admin Jan 2012,Standard,Trainee 113,60,1,1,05/01/2021 00:00
Toronto,M-20-JAV-02,Group Project,Java Marking Scheme,Standard,Trainee 234,100,1,1,05/01/2021 00:00
Toronto,T-20-JAV-11,Group Project,Java Marking Scheme,Standard,Trainee 390,100,1,1,05/01/2021 00:00
Toronto,T-20-JAV-11,Group Project,Java Marking Scheme,Standard,Trainee 444,100,1,1,05/01/2021 00:00
Toronto,T-20-JAV-11,Group Project,Java Marking Scheme,Standard,Trainee 517,100,1,1,05/01/2021 00:00
New York,N-20-APP-11,OS Admin,OS Admin Jan 2012,Standard,Trainee 669,60,1,1,05/01/2021 00:00
Toronto,T-20-JAV-11,Group Project,Java Marking Scheme,Standard,Trainee 684,100,1,1,05/01/2021 00:00
New York,N-20-APP-11,OS Admin,OS Admin Jan 2012,Standard,Trainee 1211,60,1,1,05/01/2021 00:00
Toronto,M-20-JAV-02,Group Project,Java Marking Scheme,Standard,Trainee 1484,100,1,1,05/01/2021 00:00
New York,N-20-APP-11,OS Admin,OS Admin Jan 2012,Standard,Trainee 1987,58,0.9667,1,05/01/2021 00:00
New York,N-20-APP-11,OS Admin,OS Admin Jan 2012,Standard,Trainee 2026,56,0.9333,1,05/01/2021 00:00
New York,N-20-APP-11,OS Admin,OS Admin Jan 2012,Standard,Trainee 1167,56,0.9333,1,05/01/2021 00:00
New York,N-20-APP-11,OS Admin,OS Admin Jan 2012,Standard,Trainee 2830,54,0.9,1,05/01/2021 00:00
New York,N-20-APP-11,OS Admin,OS Admin Jan 2012,Standard,Trainee 2075,54,0.9,1,05/01/2021 00:00
New York,N-20-JAV-16,OOD 2,OOD Marking Scheme,Standard,Trainee 1318,90,0.9,1,05/01/2021 00:00
New York,N-20-JAV-16,OOD 2,OOD Marking Scheme,Standard,Trainee 1962,90,0.9,1,05/01/2021 00:00
New York,N-20-JAV-16,OOD 2,OOD Marking Scheme,Standard,Trainee 2455,80,0.8,1,05/01/2021 00:00
New York,N-20-JAV-16,OOD 2,OOD Marking Scheme,Standard,Trainee 1905,80,0.8,1,05/01/2021 00:00
New York,N-20-JAV-16,OOD 2,OOD Marking Scheme,Standard,Trainee 2484,75,0.75,1,05/01/2021 00:00
New York,N-20-JAV-16,OOD 2,OOD Marking Scheme,Standard,Trainee 2883,75,0.75,1,05/01/2021 00:00
New York,N-20-JAV-16,OOD 2,OOD Marking Scheme,Standard,Trainee 3252,75,0.75,2,05/01/2021 00:00
New York,N-20-JAV-16,OOD 2,OOD Marking Scheme,Standard,Trainee 2663,75,0.75,1,05/01/2021 00:00
New York,N-20-JAV-16,OOD 2,OOD Marking Scheme,Standard,Trainee 3252,74,0.74,1,05/01/2021 00:00
Toronto,T-20-JAV-12,Spring Framework,Java Marking Scheme,Standard,Trainee 1621,98,0.98,1,06/01/2021 00:00
Toronto,T-20-JAV-12,Spring Framework,Java Marking Scheme,Standard,Trainee 1493,98,0.98,1,06/01/2021 00:00
Toronto,T-20-JAV-12,Spring Framework,Java Marking Scheme,Standard,Trainee 2864,90,0.9,1,06/01/2021 00:00
New York,N-20-SignOff-05,Sign Off,EXCEL VBA Sign Off Exam - May 2014,Standard,Trainee 2830,26,0.8667,1,06/01/2021 00:00
Toronto,T-20-JAV-12,Spring Framework,Java Marking Scheme,Standard,Trainee 1627,85,0.85,1,06/01/2021 00:00
New York,N-20-SignOff-05,Sign Off,UNIX Signoff Exam Aug 2013,AXS_Exam,Trainee 2830,81,0.81,1,06/01/2021 00:00
New York,N-20-SignOff-05,Sign Off,EXCEL VBA Sign Off Exam - May 2014,Standard,Trainee 2924,24,0.8,1,06/01/2021 00:00
New York,N-20-SignOff-05,Sign Off,UNIX Signoff Exam Aug 2013,AXS_Exam,Trainee 2924,78,0.78,2,06/01/2021 00:00
New York,N-20-SignOff-05,Sign Off,SQL Signoff Exam Aug 2013,AXS_Exam,Trainee 2830,77,0.77,1,06/01/2021 00:00
New York,N-20-SignOff-05,Sign Off,SQL Signoff Exam Aug 2013,AXS_Exam,Trainee 2924,75,0.75,1,06/01/2021 00:00
New York,N-20-SignOff-05,Sign Off,UNIX Signoff Exam Aug 2013,AXS_Exam,Trainee 2924,66,0.66,1,06/01/2021 00:00
Toronto,T-20-JAV-12,Spring Framework,Java Marking Scheme,Standard,Trainee 3266,0,0,1,06/01/2021 00:00
Toronto,T-20-JAV-12,Spring Framework,Java Marking Scheme,Standard,Trainee 3268,0,0,1,06/01/2021 00:00
Toronto,T-20-JAV-12,Spring Framework,Java Marking Scheme,Standard,Trainee 3269,0,0,1,06/01/2021 00:00
Toronto,T-20-JAV-12,Spring Framework,Java Marking Scheme,Standard,Trainee 3271,0,0,1,06/01/2021 00:00
Arlington,AR-20-COR-15,SQL,FOU - SQL Project Complete,Standard,Trainee 511,143,0.9862,1,07/01/2021 00:00
Arlington,AR-20-COR-15,SQL,FOU - SQL Project Complete,Standard,Trainee 1501,131,0.9034,1,07/01/2021 00:00
New York,N-20-BA-01,Business Fundamentals/Project,Mini Presentation,Standard,Trainee 3012,88,0.88,1,07/01/2021 00:00
New York,N-20-BA-01,Business Fundamentals/Project,Mini Presentation,Standard,Trainee 2634,88,0.88,1,07/01/2021 00:00
New York,N-20-BA-01,Business Fundamentals/Project,Mini Presentation,Standard,Trainee 2647,88,0.88,1,07/01/2021 00:00
New York,N-20-BA-01,Business Fundamentals/Project,Mini Presentation,Standard,Trainee 3024,88,0.88,1,07/01/2021 00:00
New York,N-20-BA-01,Business Fundamentals/Project,Mini Presentation,Standard,Trainee 3027,88,0.88,1,07/01/2021 00:00
New York,N-20-BA-01,Business Fundamentals/Project,Mini Presentation,Standard,Trainee 2918,88,0.88,1,07/01/2021 00:00
New York,N-20-BA-01,Business Fundamentals/Project,Mini Presentation,Standard,Trainee 3034,88,0.88,1,07/01/2021 00:00
Arlington,AR-20-COR-15,SQL,FOU - SQL Project Complete,Standard,Trainee 301,127,0.8759,2,07/01/2021 00:00
Arlington,AR-20-COR-15,SQL,FOU - SQL Project Complete,Standard,Trainee 1304,117,0.8069,1,07/01/2021 00:00
Arlington,AR-20-COR-15,SQL,FOU - SQL Project Complete,Standard,Trainee 927,112,0.7724,1,07/01/2021 00:00
Arlington,AR-20-COR-15,SQL,FOU - SQL Project Complete,Standard,Trainee 613,111,0.7655,1,07/01/2021 00:00
Arlington,AR-20-COR-15,SQL,FOU - SQL Project Complete,Standard,Trainee 3260,102,0.7034,1,07/01/2021 00:00
Arlington,AR-20-COR-15,SQL,FOU - SQL Project Complete,Standard,Trainee 301,100,0.6897,1,07/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Shell Scripting Project  2021,Standard,Trainee 91,100,1,1,08/01/2021 00:00
New York,N-20-JAV-15,Java 2- Servlets & JSP,Java Marking Scheme,Standard,Trainee 231,100,1,1,08/01/2021 00:00
Sydney,SY-20-OOD-09,Object Orientated Development Week 4,OOD Marking Scheme,Standard,Trainee 261,100,1,1,08/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Shell Scripting Project  2021,Standard,Trainee 304,100,1,1,08/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Command Line Test 2021,Standard,Trainee 423,100,1,1,08/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Shell Scripting Project  2021,Standard,Trainee 423,100,1,1,08/01/2021 00:00
Frankfurt,F-20-OOD-07,Object Orientated Development Week 2,OOD Marking Scheme,Standard,Trainee 433,100,1,1,08/01/2021 00:00
Hong Kong,H-20-OOD-06,Object Orientated Development Week 1,OOD Marking Scheme,Standard,Trainee 481,100,1,1,08/01/2021 00:00
London,L-20-JAV-05,Java Data Access,Java Marking Scheme,Standard,Trainee 622,100,1,1,08/01/2021 00:00
Hong Kong,H-20-OOD-06,Object Orientated Development Week 1,OOD Marking Scheme,Standard,Trainee 674,100,1,1,08/01/2021 00:00
London,L-20-JAV-05,Java Data Access,Java Marking Scheme,Standard,Trainee 706,100,1,1,08/01/2021 00:00
London,L-20-JAV-05,Java Data Access,Java Marking Scheme,Standard,Trainee 721,100,1,1,08/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Shell Scripting Project  2021,Standard,Trainee 858,100,1,1,08/01/2021 00:00
London,L-20-JAV-05,Java Data Access,Java Marking Scheme,Standard,Trainee 934,100,1,1,08/01/2021 00:00
London,L-20-JAV-05,Java Data Access,Java Marking Scheme,Standard,Trainee 941,100,1,1,08/01/2021 00:00
New York,N-20-JAV-15,Java 2- Servlets & JSP,Java Marking Scheme,Standard,Trainee 986,100,1,1,08/01/2021 00:00
London,L-20-JAV-05,Java Data Access,Java Marking Scheme,Standard,Trainee 1244,100,1,1,08/01/2021 00:00
London,L-20-JAV-05,Java Data Access,Java Marking Scheme,Standard,Trainee 1253,100,1,1,08/01/2021 00:00
London,L-20-JAV-05,Java Data Access,Java Marking Scheme,Standard,Trainee 1282,100,1,1,08/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Shell Scripting Project  2021,Standard,Trainee 1371,100,1,1,08/01/2021 00:00
London,L-20-JAV-05,Java Data Access,Java Marking Scheme,Standard,Trainee 1414,100,1,1,08/01/2021 00:00
London,L-20-JAV-05,Java Data Access,Java Marking Scheme,Standard,Trainee 1557,100,1,1,08/01/2021 00:00
London,L-20-JAV-05,Java Data Access,Java Marking Scheme,Standard,Trainee 1580,100,1,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,EMEA Pro Skills Written Assessment 2021,Standard,Trainee 1657,59,0.9833,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,EMEA Pro Skills Written Assessment 2021,Standard,Trainee 666,59,0.9833,1,08/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Command Line Test 2021,Standard,Trainee 1731,98,0.98,1,08/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Shell Scripting Project  2021,Standard,Trainee 1731,98,0.98,1,08/01/2021 00:00
New York,N-20-JAV-15,Java 2- Servlets & JSP,Java Marking Scheme,Standard,Trainee 1739,98,0.98,1,08/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Command Line Test 2021,Standard,Trainee 858,98,0.98,1,08/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Shell Scripting Project  2021,Standard,Trainee 1445,98,0.98,1,08/01/2021 00:00
Toronto,T-20-TST-02,Manual Testing/ISTQB,ISEB/ISTQB Foundation Exam,External,Trainee 1860,39,0.975,1,08/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Command Line Test 2021,Standard,Trainee 91,97,0.97,1,08/01/2021 00:00
New York,N-20-JAV-15,Java 2- Servlets & JSP,Java Marking Scheme,Standard,Trainee 1892,97,0.97,1,08/01/2021 00:00
Glasgow,G-20-FOU-15,Unix,EMEA UNIX Command Line Test 2021,Standard,Trainee 1071,97,0.97,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,EMEA Pro Skills Presentation Assessment 2021,Standard,Trainee 1657,58,0.9667,1,08/01/2021 00:00
New York,N-20-JAV-15,Java 2- Servlets & JSP,Java Marking Scheme,Standard,Trainee 1964,96,0.96,1,08/01/2021 00:00
Sydney,SY-20-JAV-08,Java Week 4,Solo Project,Standard,Trainee 1435,96,0.96,1,08/01/2021 00:00
Frankfurt,F-20-BAT-06,Business Analysis,Business Analyst Foundation Certificate,External,Trainee 2287,38,0.95,1,08/01/2021 00:00
Toronto,T-20-TST-02,Manual Testing/ISTQB,ISEB/ISTQB Foundation Exam,External,Trainee 2294,38,0.95,1,08/01/2021 00:00
Toronto,T-20-TST-02,Manual Testing/ISTQB,ISEB/ISTQB Foundation Exam,External,Trainee 2299,38,0.95,1,08/01/2021 00:00
Austin,HTX-20-JAV-03,Java 5-  Project,Java Marking Scheme,Standard,Trainee 2321,95,0.95,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,EMEA Pro Skills Written Assessment 2021,Standard,Trainee 665,57,0.95,1,08/01/2021 00:00
Hong Kong,H-20-OOD-06,Object Orientated Development Week 1,OOD Marking Scheme,Standard,Trainee 1613,95,0.95,1,08/01/2021 00:00
Hong Kong,H-20-OOD-06,Object Orientated Development Week 1,OOD Marking Scheme,Standard,Trainee 792,95,0.95,1,08/01/2021 00:00
Arlington,AR-20-JAV-08,Finance,New York Finance,Standard,Trainee 2359,95,0.95,1,08/01/2021 00:00
Austin,HTX-20-JAV-03,Java 5-  Project,Java Marking Scheme,Standard,Trainee 2376,95,0.95,1,08/01/2021 00:00
Austin,HTX-20-JAV-03,Java 5-  Project,Java Marking Scheme,Standard,Trainee 2382,95,0.95,1,08/01/2021 00:00
Hong Kong,H-20-OOD-06,Object Orientated Development Week 1,OOD Marking Scheme,Standard,Trainee 1946,95,0.95,1,08/01/2021 00:00
Austin,HTX-20-JAV-03,Java 5-  Project,Java Marking Scheme,Standard,Trainee 2413,95,0.95,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,EMEA Pro Skills Presentation Assessment 2021,Standard,Trainee 1491,57,0.95,1,08/01/2021 00:00
Frankfurt,F-21-FOU-01,Professional Skills,EMEA Pro Skills Written Assessment 2021,Standard,Trainee 1491,57,0.95,1,08/01/2021 00:00
